,date,vegetable,unit,minimum,maximum,average
325,2025-06-04,लौका,kg,20,30,25
326,2025-06-04,परवर(लोकल),kg,45,55,50
327,2025-06-04,परवर(तराई),kg,40,50,45
328,2025-06-04,चिचिण्डो,kg,20,30,25
329,2025-06-04,घिरौला,kg,30,35,32
330,2025-06-04,झिगूनी,kg,50,60,55
331,2025-06-04,फर्सी पाकेको,kg,35,45,40
332,2025-06-04,फर्सी हरियो(लाम्चो),kg,20,30,25
333,2025-06-04,हरियो फर्सी(डल्लो),kg,15,25,20
334,2025-06-04,भिण्डी,kg,25,35,30
335,2025-06-04,सखरखण्ड,kg,65,75,70
336,2025-06-04,पिंडालू,kg,100,120,110
337,2025-06-04,रायो साग,kg,20,30,25
338,2025-06-04,पालूगो साग,kg,25,35,30
339,2025-06-04,चमसूरको साग,kg,60,70,65
340,2025-06-04,तोरीको साग,kg,20,30,25
341,2025-06-04,मेथीको साग,kg,80,100,90
342,2025-06-04,प्याज हरियो,kg,50,60,55
343,2025-06-04,च्याउ(कन्य),kg,150,170,160
344,2025-06-04,च्याउ(डल्ले),kg,240,280,260
345,2025-06-04,कुरीलो,kg,200,350,275
346,2025-06-04,न्यूरो,kg,20,30,25
347,2025-06-04,ब्रोकाउली,kg,65,70,67
348,2025-06-04,चुकुन्दर,kg,65,75,70
349,2025-06-04,सजिवन,kg,110,120,115
350,2025-06-04,रातो बन्दा,kg,60,70,65
351,2025-06-04,जिरीको साग,kg,70,80,75
352,2025-06-04,ग्याठ कोबी,kg,45,55,50
353,2025-06-04,सेलरी,kg,110,120,115
354,2025-06-04,पार्सले,kg,300,400,350
355,2025-06-04,सौफको साग,kg,80,100,90
356,2025-06-04,पुदीना,kg,100,110,105
357,2025-06-04,गान्टे मूला,kg,30,40,35
358,2025-06-04,इमली,kg,160,170,165
359,2025-06-04,तामा,kg,90,100,95
360,2025-06-04,तोफु,kg,110,140,126
361,2025-06-04,गुन्दुक,kg,300,350,326
362,2025-06-04,स्याउ(झोले),kg,230,250,240
363,2025-06-04,स्याउ(फूजी),kg,240,300,273
364,2025-06-04,केरा,dozen,140,150,145
365,2025-06-04,कागती,kg,180,200,190
366,2025-06-04,अनार,kg,300,350,326
367,2025-06-04,आँप(मालदह),kg,55,65,60
368,2025-06-04,आँप(दसहरी),kg,70,75,72
369,2025-06-04,अंगुर(हरियो),kg,200,250,226
370,2025-06-04,अंगुर(कालो),kg,300,350,326
371,2025-06-04,तरबुजा(हरियो),kg,30,40,35
372,2025-06-04,मौसम,kg,180,200,190
373,2025-06-04,जुनार,kg,200,250,226
374,2025-06-04,भुई कटहर,per piece,160,180,170
375,2025-06-04,काक्रो(लोकल),kg,40,50,45
376,2025-06-04,काक्रो(हाइब्रीड),kg,10,15,12
377,2025-06-04,रुख कटहर,kg,55,65,60
378,2025-06-04,मेवा(नेपाली),kg,90,100,95
379,2025-06-04,लीच्ची(लोकल),kg,120,130,125
380,2025-06-04,लीच्ची(भारतीय),kg,180,200,190
381,2025-06-04,अदुवा,kg,90,110,100
382,2025-06-04,खु्र्सानी सुकेको,kg,380,420,400
383,2025-06-04,खु्र्सानी हरियो,kg,40,50,45
384,2025-06-04,खुर्सानी हरियो(बुलेट),kg,35,45,40
385,2025-06-04,खुर्सानी हरियो(माछे),kg,30,40,35
386,2025-06-04,खुर्सानी हरियो(अकबरे),kg,260,300,280
387,2025-06-04,भेडे खु्र्सानी,kg,70,80,75
388,2025-06-04,हरियो धनिया,kg,35,45,40
389,2025-06-04,लसुन सुकेको चाइनिज,kg,200,220,210
390,2025-06-04,लसुन सुकेको नेपाली,kg,170,180,175
391,2025-06-04,छ्यापी सुकेको,kg,180,200,190
392,2025-06-04,छ्यापी हरियो,kg,100,120,110
393,2025-06-04,ताजा माछा(रहु),kg,310,330,320
394,2025-06-04,ताजा माछा(बचुवा),kg,300,320,310
395,2025-06-04,ताजा माछा(छडी),kg,220,240,230
396,2025-06-04,राजा च्याउ,kg,280,300,290
397,2025-06-04,सिताके च्याउ,kg,800,900,850
398,2025-06-05,गोलभेडा ठूलो(नेपाली),kg,60,70,65
399,2025-06-05,गोलभेडा ठूलो(भारतीय),kg,60,70,65
400,2025-06-05,गोलभेडा सानो(लोकल),kg,29,39,33
401,2025-06-05,गोलभेडा सानो(टनेल),kg,39,51,44
402,2025-06-05,गोलभेडा सानो(भारतीय),kg,43,48,45
403,2025-06-05,आलु रातो,kg,37,39,38
404,2025-06-05,आलु रातो(भारतीय),kg,32,35,33
405,2025-06-05,आलु रातो(मुडे),kg,36,38,37
406,2025-06-05,प्याज सुकेको (भारतीय),kg,38,40,39
407,2025-06-05,गाजर(लोकल),kg,48,55,51
408,2025-06-05,बन्दा(लोकल),kg,10,17,13
409,2025-06-05,काउली स्थानिय,kg,35,45,39
410,2025-06-05,मूला रातो,kg,30,35,32
411,2025-06-05,मूला सेतो(लोकल),kg,15,20,17
