Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
123,2025-06-08,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1185,1200,1178.4,1186.46,2566,3040237.5,1196.23,1851,1130.2,2025-06-08T14:57:51.930237,1180,89,1184.81,4389
124,2025-06-08,2769,NHDL,Nepal Hydro Developers Ltd.,704,704,685,691.39,914,629582.7,691.5,1002.6,494,2025-06-08T14:59:47.777944,687,24,688.82,2683.95
125,2025-06-08,2770,SEF,Siddhartha Equity Fund,9.88,9.91,9.88,9.9,2850,28172.5,10.05,10.49,7.8,2025-06-08T13:31:19.395718,9.9,4,9.88,1485
126,2025-06-08,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2135,2192.9,2085,2089.47,1949,4144205.3,2167.24,4026.2,1545,2025-06-08T14:54:10.014261,2093,70,2126.32,2558.42
127,2025-06-08,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1873.1,1880,1830,1854.35,5882,10879995.4,1871.92,2076,1320,2025-06-08T14:59:23.914826,1840,93,1849.71,4577.76
128,2025-06-08,2776,RADHI,Radhi Bidyut Company Ltd,845,850,820,824.41,874768,729514660.6,845.87,850,227,2025-06-08T14:59:57.34493,823,2604,833.95,15160.73
129,2025-06-08,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,2200,2220,2116,2123.14,1675,3588236,2180.21,4271,1370,2025-06-08T14:59:57.970909,2135,91,2142.23,1790.67
130,2025-06-08,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,840,863,816,860.43,4224,3509008,846.68,1190,775,2025-06-08T14:57:22.445906,863,33,830.73,4179.62
131,2025-06-08,2786,PMHPL,Panchakanya Mai Hydropower Ltd,293,302.9,287.2,293.01,17801,5255553,288.31,348.8,219.6,2025-06-08T14:59:57.365628,295.4,96,295.23,3223.11
132,2025-06-08,2787,KPCL,Kalika power Company Ltd,511.1,520,511.1,512.05,16301,8361519.6,515.24,652.4,434,2025-06-08T14:59:35.810582,512.1,75,512.94,4782.29
